id,label,type,color,shape,size,scene,gender,social_class,title
Baron de Canalis,Baron de Canalis,character,skyblue,dot,25,,male,State/Imperial Nobility,"Famous poet who rises to social prominence 
Ascends social ranks & administrative roles aided by his affair with the Duchesse de Chaulieu
Often features in high society scenes 
Often mentioned in the context of his poetry and songs
"
TWO POETS,TWO POETS,novel,sandybrown,square,20,SCENES DE LA VIE PROVINCE,,,
Comte Félix de Vandenesse,Comte Félix de Vandenesse,character,skyblue,dot,20,,male,Old Aristocracy,"Royal secretary
Dandy, fashionable salon frequenter
Connected to much of the featured nobility through family or marriage
Former lover of Lady Dudley, Natalie de Manerville, Madame de Mortsauf 
Marries Mlle. Marie-Angelique de Granville
His character is partially autobiographical, pulling from Balzac's own unhappy childhood and early romantic experiences"
Duchesse de Maufrigneuse,Duchesse de Maufrigneuse,character,skyblue,dot,20,,female,Old Aristocracy,"Society leader considered the most powerful of the Parisian salon heads
Notorious for affairs with many of the rich and famous
Ascends to the title of Princesse de Cadignan upon her father-in-law's death (but abandoned by her husband)
Longtime enemy, later close friend of the Marquise d'Espard"
MADAME FIRMIANI,MADAME FIRMIANI,novel,blue,square,10,SCENES DE LA VIE PRIVEE,,,
Desplein,Desplein,character,skyblue,dot,15,,male,Bourgeoisie,"Famous doctor
Teacher of Bianchon
Appears most often as a minor character, a consulting physician in illness scenes"
Duc de Navarreins,Duc de Navarreins,character,skyblue,dot,15,,male,Old Aristocracy,"Head of old, wealthy aristocratic family
Powerful society figure with ties to many of the featured nobility through. patronage, family, or marriage
Father of the Duchesse de Langeais and cousin to the Marquise d'Espard
Patron to du Bruel "
AN OLD MAID,AN OLD MAID,novel,sandybrown,square,10,SCENES DE LA VIE PROVINCE,,,
General de Montriveau,General de Montriveau,character,skyblue,dot,20,,male,State/Imperial Nobility,"Born the son of a general and chevalier
Orphaned young and was patronized by Napoleon
Campaigned through Egypt and Africa, where he was held captive before his escape and return to Paris
Rises through military ranks, eventually ascending to general 
Member of the Thirteen secret society
Lover of the Duchesse de Langeais"
Comtesse de Serizy,Comtesse de Serizy,character,skyblue,dot,20,,female,Old Aristocracy,"High society salon leader 
Born ""Leontine de Ronquerolles"", from a wealthy family and sister of the Marquis de Ronquerolles 
Wife of the Comte de Serizy, unhappily married and often unfaithful
Former lover of Lucien du Rubempre, a notably passionate affair
"
Marquis de Ronquerolles,Marquis de Ronquerolles,character,skyblue,dot,15,,male,Old Aristocracy,"Head of old aristocratic family 
Diplomat, later deputy of a department in Bourgogne
Often features in high society scenes
Brother of Madame de Serizy
Member of the Thirteen secret society"
Duc de Grandlieu,Duc de Grandlieu,character,skyblue,dot,15,,male,Old Aristocracy,"Head of old, wealthy aristocratic family
Powerful society figure with pull in government and at court
Married to an Ajuda, connecting him to Portuguese aristocracy
Father to five daughters"
Baronne Delphine de Nucingen,Baronne Delphine de Nucingen,character,skyblue,dot,25,,female,State/Imperial Nobility,"Social-climbing daughter of old Goriot, a wealthy vermicelli manufacturer
Financial bougeoisie by social role; becomes a society salon leader over time
Wife of Nucingen
Former lover of Henri de Marsay
Longtime lover (and later mother-in-law) of Rastignac "
Stidmann,Stidmann,character,skyblue,dot,15,,male,Artist,"Famous sculptor
Generally mentioned in the context of his work (decorative pieces, monuments) 
"
Virginie Blondet,Virginie Blondet,character,skyblue,dot,15,,female,Bourgeoisie,"Born provincial nobility Virginie de Troisville, marries Marechal de Montcornet 
Society host of artists and intellectuals
Marries Emile Blondet upon the death of Montcornet, a notable happy ending"
Leon de Lora,Leon de Lora,character,skyblue,dot,20,,male,Artist,"Famous artist
Usually features in company of Bridau or other artists
Known as ""Mistigris"" and often mentioned in context of his works (especially landscapes)"
Lucien de Rubempré,Lucien de Rubempré,character,skyblue,dot,50,,male,Bourgeoisie,"Provincial celebrity turned Parisian social-climber
Born to a tradesman father and aristocratic mother, seeks to re-establish his family's noble name and title
Begins as a poet, becomes a journalist
Lover of many of the rich and famous, including Coralie and Esther Gobseck (both of whom he ruins)
Ascends to wealth as accomplice and would-be protege of Jacques Collin "
Félicien Vernou,Félicien Vernou,character,skyblue,dot,15,,male,Bourgeoisie,"Journalist
Often features with other journalists
Notable for his bitterness and unhappy marriage"
Marechal de Montcornet,Marechal de Montcornet,character,skyblue,dot,20,,male,State/Imperial Nobility,"Military general, ascends to social prominence via earned wealth and rank 
Napoleonic officer turned marshal, count, and army commander under the July Monarchy
Becomes a wealthy landowner but struggles to fit in with the aristocracy due to his temperament and character
First husband of Virginie Blondet (Mme. de Montcornet) and has ties to the artistic circles through her

"
Claude Vignon,Claude Vignon,character,skyblue,dot,20,,male,Bourgeoisie,"Newspaper critic famed for his wit and insight
Often features with other journalists 
Long-time lover of Mademoiselle des Touches
Mentor of the courtesan La Schontz (who becomes Mme. du Ronceret)"
Hippolyte Schinner,Hippolyte Schinner,character,skyblue,dot,20,,male,Artist,"Famous artist who rises to social prominences throughout the novels
Often mentioned in context of his work (paintings, decorating homes)
Close associate of Bridau, de Lora, and Bixiou"
Madame Josephine du Ronceret,Madame Josephine du Ronceret,character,skyblue,dot,20,,female,Bourgeoisie,"Formerly ""Madame Schontz,"" a courtesan famed for her intelligence and wit
Former mistress of Lousteau, then Stidmann & often features with artists and critics
Marries Fabien du Ronceret, a judicial official
"
Comte de Serizy,Comte de Serizy,character,skyblue,dot,20,,male,Old Aristocracy,"Powerful society leader from an aristocratic family
Became a count under the Empire and succeeded to several high government posts
Husband of Madame de Serizy, unhappily married
"
Felix Gaudissart,Felix Gaudissart,character,skyblue,dot,25,,male,Bourgeoisie,"Commercial traveler, formerly in the hat trade in the employ of Finot's father
Involved in various conspiracies and commercial schemes
Theatre owner"
Baronne Marie-Louise du Châtelet,Baronne Marie-Louise du Châtelet,character,skyblue,dot,25,,female,Old Aristocracy,"Social leader of Angouleme from provincial minor nobility
Becomes Baronne du Chatelet on her second marriage to Baron Sixte du Chatelet
Former lover of Lucien de Rubempre
Cousin of Marquise d'Espard"
Duc de Lenoncourt,Duc de Lenoncourt,character,skyblue,dot,10,,male,Old Aristocracy,"Head of old, wealthy aristocratic family
Connected to many of the featured nobility through family or marriage
Powerful society figure with long-standing ties to the monarchy
Father of Madame de Mortsauf "
Madame Roguin,Madame Roguin,character,skyblue,dot,10,,female,Bourgeoisie,"Wealthy provinical bourgeouisie 
Wife of Roguin and daughter of a banker
Long-time mistress of Ferdinand du Tillet"
VENDETTA,VENDETTA,novel,blue,square,10,SCENES DE LA VIE PRIVEE,,,
AT THE SIGN OF THE CAT AND RACKET,AT THE SIGN OF THE CAT AND RACKET,novel,blue,square,10,SCENES DE LA VIE PRIVEE,,,
Vicomtesse de Beauséant,Vicomtesse de Beauséant,character,skyblue,dot,20,,female,Old Aristocracy,"Cousin of Rastignac
Eventually Comtesse, then Marquise de Beauseant
Absconds from la mode brillant following the end of a love affair with the Marquis d'Ajuda-Pinto"
THE DESERTED WOMAN,THE DESERTED WOMAN,novel,blue,square,10,SCENES DE LA VIE PRIVEE,,,
